item	corpus_ID	idx	final_label	individual_labels	target	prev	next
absorción|NOUN|f	1	9	2	2,2,2,2,2	La operación se prevé que inicialmente concluya con la absorción de Axiare en Colonial , por lo que la marca y socimi actualmente presidida por Luis López de Herrera Oria dejará de cotizar .	Se espera que , ante el apetito de los inversores internacionales por el sector inmobiliario español , no tenga problemas en ver suscrito con creces esa cantidad cuando se anuncie .	En el capital de Axiare , tras Colonial , que ya controla el 28,8 % , no existen accionistas industriales , ya que predominan grandes fondos y entidades financieras como Deutsche Bank , Citigroup , GIC , Gruss Capital , Pelham , T. Rowe , Goldman Sachs y Wellington .
absorción|NOUN|f	1	29	2	2,2,2,2,2	Amazon se acercó dos veces a Deliveroo para comprarla , según el Telegraph , lo que sugiere que que la inversión del viernes podría ser un aperitivo para una absorción completa .	La empresa fundada por Jeff Bezos primero metió la cabeza en la cocina en 2016 con un servicio de comida para llevar en Reino Unido , pero lo cerró a finales del año pasado .	Alternativamente , podría ser una manera de aprender más sobre el negocio de la entrega de pizzas y hamburguesas , un área en la que Amazon sigue el rastro de Uber en EE UU .
absorción|NOUN|f	1	3	2	2,2,2,2,2	La liquidación y absorción de filiales por parte de la operadora ha afectado a los distintos países y unidades de negocio .	Así , el número de sociedades bajo el paraguas de la matriz de la compañía pasó de 58 en 2016 a 44 a final de 2018 , según precisó la compañía en su informe financiero anual del pasado ejercicio .	Entre las sociedades absorbidas en estos dos últimos años figuran Synergic Partners , Telefónica Open Future , Wayra Investigación y Desarrollo , Telefónica Data Brasil , Telefónica Datacorp , Ecuador Cellular Holding , Telefónica Móviles Argentina Holding , Telefónica International Wholesale Services , Telefónica Digital Holding , Iberbanda , Telefónica Telecomunicaciones Públicas , EyeOS y Telefónica Audiovisual Digital .
absorción|NOUN|f	1	9	2	2,2,2,2,2	Abanca también está inmersa en la actualidad en la absorción de Banco Caixa Geral de España , filial de la portuguesa Caixa Geral de Depósitos .	La firma de origen gallego apostará por la banca privada y el negocio con empresas , seguros y banca digital en Portugal , según ha explicado la entidad .	El banco que preside Juan Carlos Escotet no renuncia , no obstante , a seguir creciendo con compras en España , e incluso en EE UU .
absorción|NOUN|f	1	17	2	2,2,2,2,2	La facturación aumentó un 7 % como consecuencia de la consolidación del negocio tras la fusión por absorción de Nokia Solutions and Networks Spain .	La filial española del fabricante de equipos de red cerró 2018 con una cifra neta de negocios de 488,4 millones de euros , apenas 34 millones más que un año antes , según las cuentas presentadas por la compañía en el Registro Mercantil .	Esta variación positiva se trasladó al margen bruto , que creció en un porcentaje del 3,03 % , pasando de 154,1 millones de euros en 2017 a 158,8 millones el pasado año .
absorción|NOUN|f	1	26	2	2,2,2,2,2	En este sentido , consideramos que debido a la estrategia de crecimiento y expansión continuada de estas compañías , seguirán tirando de buena parte de la absorción total durante los próximos años ” , destaca Marquina , de P3 Logistic Parks .	Aproximadamente el 25 % de esta absorción ha sido por parte de empresas del sector de comercio electrónico .	Para esta empresa , “ como inversores y promotores de naves logísticas y a pesar de la inestabilidad política ” , España es un país estratégico para su crecimiento en Europa .
absorción|NOUN|f	5	26	1	1,1,1,1,1	Normalmente , el Orfidal empieza a hacer su trabajo a los " 30 o 45 minutos " , han informado las expertas , " pero la absorción no es completa hasta pasadas las dos horas " , cuando ha llegado a la sangre .	Esto , han confirmado este miércoles en el juzgado tanto las dos toxicólogas como el jefe de patología forense del Imelga que dirigió la autopsia , es perfectamente posible porque el lorazepam es una de las benzodiazepinas de acción " a medio plazo " que " menos efecto " tiene como relajante muscular .	Y esto también varía en función " de la digestión y de la tolerancia " que pueden llegar a desarrollar algunos pacientes que consumen este fármaco .
absorción|NOUN|f	5	23	1	1,1,1,1,1	Lo que sí saben es que la víctima no tomó las pastillas antes , porque la comida actuó como barrera y ralentizó la absorción de este fármaco de la familia de las benzodiazepinas .	Las especialistas no pudieron concluir en los informes que realizaron por encargo del juzgado si esta ingesta masiva de comprimidos tuvo lugar durante la comida o después .	Asunta consumió el lorazepam en una toma o en varias " entre tres y cuatro horas " antes de su muerte , un momento que los forenses del Instituto de Medicina Legal de Galicia ( Imelga ) situaron en un intervalo temporal que va de las cuatro a las ocho de la tarde .
absorción|NOUN|f	5	32	2	2,2,2,2,2	Otras fuentes señalan que la operación de salida de Banesto ya estaba diseñada por el anterior equipo de Banesto , y que estaba fijada en un momento previo a la fusión por absorción .	En cualquier caso , el proceso de fusión por absorción entre ambas aseguradoras estará culminado en un plazo de tres meses , según De la Puente .	Es decir , que Banesto vendería su participación directamente en la Corporación BV .
absorción|NOUN|f	6	14	1	1,1,1,1,1	El excedente térmico se destinará también para generar frío a través del sistema de absorción , lo que evitará el consumo de electricidad que se destina a la climatización a través del sistema de compresión eléctrica .	El sistema de cogeneración consiste en quemar una única vez el combustible fósil para obtener dos niveles de energía : por un lado , electricidad para el hospital y , por el otro , el aprovechamiento del calor útil para producir vapor para la esterilización , calefacción y agua caliente sanitaria .	La nueva planta tendrá una potencia de entre 4 y 6 megavatios ( MW ) y , en una segunda fase , se prevé que llegue a los 8,8 MW .
absorción|NOUN|f	6	40	2	2,2,2,2,2	Ya en un principio , se rebelaron ante el cambio de modelo — que al final se llevó a cabo — , que pasó de uno en el que los médicos infantiles tenían un centro diferenciado , a otro de absorción por parte del complejo hospitalario .	Desde el traslado del Hospital La Fe del barrio de Campanar al de Malilla , entre noviembre de 2010 y febrero de 2011 , los problemas con los responsables de pediatría se han ido sucediendo .	En aquella época se creó la Asociación en Defensa del Hospital Infantil La Fe ( Adehi ) , que , poco después de abierto el nuevo centro de Malillo , avisó de que la nueva distribución de camas era una “ bomba de relojería ” .
adquisición|NOUN|f	2	20	1	1,1,1,1,1	No obstante , ese año también le pidió trabajo , y de Silva lo llevó a trabajar en su nueva adquisición , La Candelaria .	El respeto que tenía por de Silva se desvaneció cuando el patrón se casó con esa estirada de la Malone .	Una noche , Sanc no pudo controlarse y se vació una botella de chicha él solo .
adquisición|NOUN|f	2	19	1	1,1,1,1,1	Arturo así lo hizo , y con el tiempo surgió entre ellos una gran amistad que culminó con la adquisición , por parte de Goyo , de la casa de verano en Ibiza .	Por eso , cuando éste comenzó su aventura profesional , su progenitor le recomendó al letrado como la persona más indicada para hacerse cargo de todos los temas jurídicos de su recién creado negocio .	Arturo fue el primero en saber que Abelardo y Adela pasarían allí las navidades , y que el deseo de Goyo era que fuesen las mejores vacaciones de las que el matrimonio había disfrutado hasta la fecha .
adquisición|NOUN|f	2	6	1	1,1,1,1,1	Además , siguiendo las fechas de adquisición de los libros , Adán había trazado un mapa de los intereses de Edmundo .	Era un hombre interesado por el arte y la ciencia al más puro estilo renacentista .	Comenzó con los escritores románticos y la poesía barroca .
adquisición|NOUN|f	2	13	2	2,1,2,1,2	Sabía que Rossum lo conseguiría , decía la Reina , orgullosa de su adquisición europea .	Algo había cambiado en el niño callado y riguroso .	Como premio , María Ana de Austria concedía al profesor todo lo que necesitaba para sus investigaciones .
adquisición|NOUN|f	2	8	1	1,1,1,1,1	Después dijo — : Ha sido la mejor adquisición de mi vida , te lo aseguro .	Entonces la compré — Heracles hizo una pausa y bebió un sorbo de vino .	Y ella también ha salido ganando : tengo dispuesto que , a mi muerte , sea manumitida , y , de hecho , ya le he concedido considerable libertad ; incluso me pide permiso de vez en cuando para ir a Eleusis , pues es devota de los Sagrados Misterios , y yo se lo otorgo sin problemas — concluyó , sonriente — .
adquisición|NOUN|f	2	3	2	2,2,1,2,2	Entre sus nuevas adquisiciones se encontraba Adrien Désiré Étienne , más conocido como Drian .	Tales extravagancias , cada vez más insólitas , no sólo aumentaban la extensa fama de Luisa , sino que servían de imán para los nuevos artistas , que siempre querían conocerla y esperaban la satisfacción de alguno de sus encargos .	Drian , nacido en el seno de una familia modesta , en Lorena , Francia , tomó su pseudónimo en la academia de Philippe Jullian .
adquisición|NOUN|f	2	10	1	1,1,1,1,?	Y allá que se fue él , orgulloso de su adquisición , con el maletín bajo el brazo con que sujetaba el paraguas y haciendo extraños movimientos con la otra mano para que las lágrimas de tan orgullosa ciudad no osaran limpiar la miseria pintada en mi cuadro y que las tiendas de plástico azul no mancharan su elegante gabardina .	No quiero que me conozcan , que se empiece a hablar de mí y de mis obras , y terminen por detenerme .	A la vuelta me encontré a los hermanos Grey bajo su tienda abierta y me invitaron a compartir la cena con ellos .
adquisición|NOUN|f	4	5	1	1,1,1,1,1	El anillo era una reciente adquisición , pues había cambiado todas y cada una de las joyas que el padre de Spencer le había regalado por otras nuevas .	Muy oportunamente , Veronica Hastings entró en la cocina como una exhalación envuelta en una nube de Chanel Nº 5 , colocándose unos pendientes largos y poniéndose un gran anillo de diamantes en el dedo .	Su cabello rubio ceniza , perfectamente alisado , le llegaba hasta la barbilla , sus ojos parecían enormes gracias a un maquillaje sabiamente aplicado y llevaba un ajustado vestido de tubo que dejaba al descubierto sus brazos , tonificados a base de clases de pilates .
adquisición|NOUN|f	4	35	1	1,1,2,1,1	Llevo mucho tiempo sospechando que el interminable trabajo de catalogación de la biblioteca tenía que ver tanto con el deseo de mi padre de vernos juntos a James y a mí como con sus constantes adquisiciones para la colección .	James y yo nos quedamos de pronto rodeados por el silencio que deja la marcha de su padre .	Lo mismo que con sus opiniones respecto a las mujeres y el intelecto , mi padre no era un conformista en lo referente a las diferencias sociales .
adquisición|NOUN|f	3	13	1	1,1,1,1,1	Nunca se ha terminado de explicar claramente lafinanciación de algunas de sus primeras adquisiciones .	Existe el temor de que se abra una investigación sobre los negocios deKingsley que deje al descubierto irregularidadesfinancieras .	La situación sería diferente si hubiera un sucesor designado » .
adquisición|NOUN|f	3	20	1	1,1,1,1,1	Elias Perrywinkle , su sirviente , arrastró por el patio de la universidad el pesado baúl repleto de sus nuevas adquisiciones y lo subió , arrastrándolo también , por la escalera de caracol del Trinity College hasta los aposentos que Newton compartía con su colega más antiguo , John Wickins .	La noche anterior , Isaac Newton apenas había tenido fuerzas para deshacer el equipaje .	Después de dar permiso al sirviente para retirarse , compensándole con un cuarto de penique y mascullando unas palabras de agradecimiento , Newton encontró a duras penas la energía necesaria para guardar el baúl en el laboratorio contiguo a su alcoba , quitarse las botas y echar la capa salpicada de barro encima de una silla .
adquisición|NOUN|f	3	40	1	1,1,1,1,?	Vivimos en una época de monolitos decadentes y peligrosos : nuestro sistema político no funciona , nos hemos refugiado en una vida privada cuyos detalles más minúsculos nos son impuestos y monitorizados por esas mismas multinacionales cuyas demenciales fusiones y adquisiciones recortan nuestra libertad cada vez más , y la gente es demasiado perezosa para ejercer los pocos derechos democráticos que nos quedan .	Lo que estamos viviendo es el fin del imperio romano .	La libertad política ahora significa la libertad para escoger entre una marca comercial u otra , el consumismo más exacerbado .
adquisición|NOUN|f	3	14	1	1,1,2,1,1	Ya tenían sus propios satélites y no podían permitirse el lujo de negociar la adquisición de otros .	No , los rusos no tuvieron interés por lo que él les ofrecía .	No , con los israelíes jamás se llegó a ningún acuerdo .
adquisición|NOUN|f	3	10	1	1,1,1,1,1	Sir Paul indicó que le preocupaba la magnitud de una adquisición como aquella , y solicitó que no se llegara a ningún compromiso sin la aprobación del consejo de administración .	Armstrong les puso al día de los avances conseguidos en Nueva York y pasó a decirles que tenía la intención de efectuar un nuevo viaje al otro lado del Atlántico en un próximo futuro , pues estaba convencido de que la empresa se encontraría dentro de poco en posición de efectuar una oferta pública de adquisición de acciones del New York Star .	Armstrong le aseguró que jamás se le habría ocurrido hacerlo de otro modo .
adquisición|NOUN|f	3	29	1	1,1,1,1,1	Poco después de aquel suceso , Williams le propuso a Hansford que viajase con él a Europa , pues preparaba un viaje durante el cual iba a realizar algunas adquisiciones .	Cuando Williams llamó a la policía , Danny subió corriendo y fingió estar dormido en la cama .	Williams le explicó que había empezado a encontrarse mal de salud , y que en varias ocasiones se había desmayado por un problema de hipoglucemia .
adquisición|NOUN|f	3	2	1	1,1,1,1,1	En la adquisición de esta biblioteca Newton había invertido sus ingresos anuales procedentes de la propiedad agraria de la familia , en Woolsthorpe — Lincolnshire — , así como buena parte de su sueldo de catedrático .	Su biblioteca albergaba trescientos volúmenes dedicados , casi exclusivamente , a la alquimia en todos sus aspectos y a la tradición hermética .	Era , tal vez , la mejor colección de libros de toda la cristiandad .
adquisición|NOUN|f	13	7	1	1,1,1,1,1	Tras la venta de Ediciones Generales esta adquisición supondrá la profundización en el negocio de educación anunciada en su momento .	NORMA ha sido , desde su fundación , uno de los principales competidores de Santillana en Latinoamérica y , es una marca de reconocido prestigio .	En Radio , los ingresos en moneda local crecieron un 5 % y el EBITDA un 21 % , alcanzando 80 millones de euros .
adquisición|NOUN|f	13	16	1	1,1,1,1,1	Las regulaciones sobre la propiedad y controles sobre la inversión extranjera hacen que las oportunidades de adquisición sean relativamente escasas .	Quiero resaltar una vez más que la consolidación está en el ADN de nuestro Grupo .	No obstante , tenemos los recursos necesarios , y un modelo único y flexible de integración , para incorporar nuevas aerolíneas a nuestro conjunto actual de marcas , con la ventaja de generar enormes sinergias de costes .
adquisición|NOUN|f	13	29	1	1,1,1,1,1	El saldo de cartera de Construcción al final de 2016 alcanzaba los 55.769 millones de euros , incrementándose un 14,1 % como consecuencia del crecimiento en América y la adquisición de UGL en Australia .	En cuanto a las ventas desglosadas por regiones : América del Norte representa un 54 % , Asia Pacífico un 31 % , Europa un 13 % , de las cuales un 5 % es España y el resto de Europa un 8 % , y América del Sur un 2 % .	La distribución de la cartera de Construcción por regiones es la siguiente : Asia Pacífico un 42 % ; América del Norte un 40 % ; Europa un 14 % , donde España representa un 5 % y el resto de Europa un 9 % ; Sudamérica un 4 % y África un 1 % .
adquisición|NOUN|f	1	5	1	1,1,1,1,1	Axactor destaca que tras esta adquisición pasa a gestionar más de 5.000 millones en deuda comprada en el mercado español .	Aunque Sareb recibirá un importe simbólico por estos créditos , cerca de 4.000 expedientes , la compañía podrá apuntarse ese ingreso íntegramente como plusvalías ya que estaba totalmente provisionada .	Sareb , como el resto de los bancos españoles , aunque este no es una entidad financiera , se encuentra en pleno proceso de desinversión .
adquisición|NOUN|f	1	11	1	1,2,1,1,1	Poco después , conoce que la misma Audiencia Nacional investigará la adquisición de Dia .	Fridman concede su primera entrevista en España en la semana en que ha declarado en la Audiencia Nacional , acusado de liderar una presunta trama para hundir la compañía tecnológica Zed , fundada por Javier Pérez Dolset , a través de sociedades participadas , algo que niega tajantemente .	El “ magnate ruso ” , coletilla que le acompaña de forma inseparable , no rehúye ninguna pregunta , y con un tono calmado explica su versión de todo lo que ha pasado en los últimos dos años .
adquisición|NOUN|f	1	5	1	1,1,1,1,1	El importe máximo de esas adquisiciones será de 100 millones de euros o 12 millones de títulos , correspondiente al 3 % del capital de la socimi .	Inmobiliaria Colonial comunicó ayer a la CNMV que ha acordado llevar a cabo un programa de recompra de acciones propias .	La duración máxima del programa de recompra es de seis meses , con plazo de hasta el 17 de abril de 2018 .
adquisición|NOUN|f	1	18	1	1,1,1,1,1	Entre aquellos que sí apostarán por el crecimiento inorgánico , el 60 % lo hará a través de adquisiciones con tres motivaciones : expandir el alcance geográfico de la empresa , consolidar su cuota de mercado y aprovechar una buena oportunidad .	Un porcentaje muy bajo que los encuestados justifican por la incertidumbre económica ( con un 60 % de las respuestas ) , en primer lugar , el elevado precio de los activos ( 35 % ) y la complejidad de las propias transacciones ( 24 % ) .	Otro 20 % recalca que la modalidad escogida será la de la creación de joint-ventures “ para acceder a nuevos mercados , para optimizar el coste u obtener economías de escala ” .
adquisición|NOUN|f	1	21	1	1,1,1,1,1	El documento en el registro mercantil británico está fechado el martes 3 de diciembre , un día después de conocerse la adquisición del edificio de oficinas en el West End donde tiene la sede la consultora McKinsey .	Pontegadea UK ha registrado en Reino Unido una ampliación de capital de 159 millones de acciones a valor nominal de una libra por título , en total 159 millones de libras ( 188 millones de euros al cambio actual de divisas ) .	Estos recursos servirán solo para sufragar en parte la operación , ya que el resto provendrá de los fondos propios de la filial británica ( gracias a la caja que genera su negocio de alquiler de inmuebles ) y , por último , mediante endeudamiento , según explican fuentes conocedoras de la operación .
adquisición|NOUN|f	1	25	1	1,1,1,1,1	La entidad financiera , que se ha hecho también con el área de concesiones de OHL por 2.158 millones , suma con esta su tercera adquisición en el mercado del agua en todo el mundo .	De hecho , el accionista de control de FCC , el magnate Carlos Slim , ha dado la orden de buscar sinergias con el nuevo socio , IFM , para seguir creciendo .	Las experiencias anteriores vienen de muy atrás , con la compra de Wyuna Water ( Australia ) en 2003 y de Anglian Water ( Reino Unido ) en 2006 .
adquisición|NOUN|f	1	26	1	1,1,1,1,1	En caso de no cerrar la operación en ese tiempo , adelanta el dinero de la casa para que el propietario pueda hacer frente a la adquisición de otro inmueble .	Enfocada en el mercado de reposición , es decir , en propietarios que necesitan vender su vivienda para tener liquidez y comprar otra , la firma garantiza la venta de las viviendas a precio de mercado en menos de 90 días .	Una vez cerrada la operación se hace entrega del importe restante al propietario .
adquisición|NOUN|f	1	1	1	1,1,1,1,1	La adquisición de Talisman Energy amplió la presencia de Repsol en Noruega , un mercado que representa una gran oportunidad de crecimiento y un país estratégico para el grupo con un potencial importante en el área de exploración y producción .	La petrolera dirigida por Josu Jon Imaz está presente en Noruega , donde opera a través de su filial Repsol Norge , principalmente a través de su negocio de ' upstream ' ( exploración y producción ) .	La petrolera tiene licencias en 25 bloques para la exploración , producción y desarrollo en el Mar del Norte y de Noruega , área donde centra su actividad .
adquisición|NOUN|f	1	3	1	1,1,1,1,1	Preguntado por futuras adquisiciones , Hernández Callejas explica que su empresa es “ bastante selectiva ” y que no se sienten “ presionados por comprar una empresa cada año .	Así lo confirmó su presidente , Antonio Hernández Callejas , este fin de semana en una entrevista con Negocios , el suplemento económico dominical de El País .	Solo pujaremos por aquello que nos encaje estratégicamente y que además tenga un precio razonable ” .
adquisición|NOUN|f	1	6	1	1,1,1,1,1	Una vez que se materialice esta adquisición , Correos operará en toda la Península Ibérica , siendo esta una puerta de entrada para el mercado europeo y latinoamericano ( Brasil como destino más apetecible ) .	El anuncio se suma al que hizo Correos el viernes pasado cuando informó de la compra del 51 % de Rangel Expresso , una empresa lusa de envíos que permitirá a la compañía entrar en el mercado portugués .	Los planes de expansión de la compañía no se quedan ahí , sino que tienen la mira en el Sudeste Asiático , donde “ está el punto de origen de la paquetería a nivel mundial ” , dijo el pasado mes de enero el presidente de Correos , Juan Manuel Serrano .
adquisición|NOUN|f	1	27	1	1,1,1,1,1	La pasada semana cerró la compra del antiguo hotel Asturias en Madrid , que la socimi rehabilitará , y acogerá a la marca W. En las dos adquisiciones ha destinado 131 millones .	Para la compra del inmueble , que seguirá operado por Meliá , la socimi madrileña ha recibido financiación con garantía hipotecaria por 24,6 millones , concedida por Kutxabank .	Estos dos activos formarán parte de la cartera de siete propiedades de la socimi : el hotel Vía Castellana de Madrid , el hotel Lucemtum de Alicante , los hoteles Plaza Magdalena y Plaza San Francisco en Sevilla , el hotel Gran Vía de Bilbao .
adquisición|NOUN|f	1	21	1	1,1,1,1,1	Otras , como el grupo Zena , que gestiona Domino’s o Foster’s Hollywood , también ha declarado su intención de buscar adquisiciones de nuevas marcas .	También en las últimas semanas se cerró la compra de Don G por Comess , la propietaria de Lizarrán .	Asimismo , Compañía del Trópico , surgida de la fusión de Café & Té y Panaria , es otro de los grupos que busca oportunidades para crecer o que incluso se abre a ser adquirida por un grupo mayor .
adquisición|NOUN|f	1	29	1	1,1,1,1,1	La subida en la capital se ha visto especialmente estimulada en diciembre , cuando entró en vigor el plan MUS de la Comunidad de Madrid , para incentivar la adquisición de coches eléctricos , híbridos y de gas .	En 2017 , esta comunidad había crecido un 61 % , mientras que en 2018 solo un 10 % .	El programa , que estuvo dotado con 2.000.000 de euros , duró cinco días y gracias a él se matricularon 269 eléctricos y 130 híbridos enchufables .
adquisición|NOUN|f	1	6	1	1,1,1,1,1	El proceso de licitación para la adquisición parcial de DESFA está reservado para entidades que tengan la calificación europea de gestores de la red de transporte de gas ( TSO por sus siglas en inglés ) , una condición que Reganosa cumple .	Para ello , el consorcio constituido por el grupo energético español , con sede en Galicia , un socio industrial ( la rumana Transgaz ) y otro financiero ( el Banco Europeo para la Reconstrucción y el Desarrollo ( EBRD ) han presentado hoy una oferta económica y técnica vinculante .	El 22 de septiembre de 2017 , la oferta del consorcio fue aceptada y finalmente pujara con otro consorcio en la venta .
adquisición|NOUN|f	1	5	1	1,1,1,1,1	Se trata de la mayor adquisición de SAP desde la compra en 2014 de Concur Technologies por 7.400 millones ( 5.947 millones de euros ) , según anunció ayer la empresa .	El gigante alemán del software para empresas SAP ha adquirido la empresa estadounidense Callidus Software , especializada en computación en la nube , por 2.400 millones de dólares ( 1.932 millones de euros ) .	En la operación , SAP abonará 36 dólares por cada acción de Callidus ( cotizada en el Nasdaq ) , lo que supone una prima del 21 % sobre el precio medio ponderado de cierre de las últimas 30 sesiones .
adquisición|NOUN|f	1	18	1	1,1,1,1,1	La parte compleja es el negocio de diagnóstico , que se formó a partir de una serie de adquisiciones poco integradas , y creció lentamente un 1,3 % anual en los últimos tres años .	Hay que sumar otros 6.000 millones por la pequeña unidad de terapias avanzadas , suponiendo un múltiplo de 17,5 veces , en línea con sus pares .	Siemens calcula que el sector está creciendo a un 5 % .
adquisición|NOUN|f	1	5	1	1,1,1,1,1	El grupo cubre con estas adquisiciones el 79 % de lo que tenía presupuestado para este ejercicio .	La inmobiliaria Neinor cerró el primer semestre con la compra de suelo por valor de 157,5 millones de euros , según ha informado la promotora a la CNMV .	Con ello , alcanza un parque de viviendas de 10.700 unidades .
adquisición|NOUN|f	1	5	1	1,1,1,1,1	La compañía espera que la adquisición se finalice en el último trimestre de 2018 y , de momento , según fuentes de la empresa , no tiene previsto vender los productos en Europa .	Ese precio supone un máximo anual y supone solo un 6,65 % menos de la referencia anterior al profit warning de julio del pasado año .	Tras la operación , EE UU pasará a suponer el 21 % de las ventas ( frente al 9 % actual ) , y se colocará ya como segundo gran mercado por detrás de España ( su peso pasará del 37 % al 32 % ) .
adquisición|NOUN|f	1	13	1	1,1,1,1,1	En los últimos tres años se han producido más de 1.000 operaciones de adquisiciones de compañías de este tipo , de acuerdo con datos recogidos en un informe de Nasdaq .	Los especialistas en seguridad informática , además de beneficiarse de un posible aumento del gasto en esta materia , también pueden objeto de compra por otras compañías más grandes .	Además de las compañías especializadas , hay otras empresas tecnológicas que pueden salir beneficiadas de un aumento de la inversión de ciberseguridad .
adquisición|NOUN|f	1	0	1	1,1,1,1,1	Adquisiciones más grandes son una posible solución a su problema del primer mundo .	El gigante del consumo anglo-holandés anunció que tuvo malas ventas en EE UU y Europa en el segundo trimestre , lo que le obligó a depender de regiones más volátiles .	Unilever , que fabrica productos para el hogar , como Domestos y jabón Dove , dijo el 12 de julio que las ventas del segundo trimestre crecieron un 3,1 % en los mercados emergentes , después de eliminar las fluctuaciones monetarias y las adquisiciones , pero cayeron un 0,6 % en países desarrollados .
adquisición|NOUN|f	1	11	1	1,1,1,1,1	Oaktree entró en el capital de Eolia en 2015 con la adquisición de acciones y deuda por unos 1.000 millones .	La china Shanghai Electric Power y Endesa estarían , según la agencia , entre los finalistas y la venta se cerraría por unos 1.200 millones de euros .	La propuesta se impuso a las pujas de Cerberus y Blackstone .
